Provincia;Partido;Localidad
CORDOBA;Pocho;San Gerónimo
CORDOBA;Pocho;Tala Cañada
CORDOBA;Pocho;Taninga
CORDOBA;Pocho;Villa de Pocho
CORDOBA;Presidente Roque Sáenz Peña;General Levalle
CORDOBA;Presidente Roque Sáenz Peña;La Cesira
CORDOBA;Presidente Roque Sáenz Peña;Laboulaye
CORDOBA;Presidente Roque Sáenz Peña;Leguizamón
CORDOBA;Presidente Roque Sáenz Peña;Melo
CORDOBA;Presidente Roque Sáenz Peña;Río Bamba
CORDOBA;Presidente Roque Sáenz Peña;Rosales
CORDOBA;Presidente Roque Sáenz Peña;Serrano
CORDOBA;Punilla;Bialet Massé
CORDOBA;Punilla;Cabalango
CORDOBA;Punilla;Capilla del Monte
CORDOBA;Punilla;Casa Grande
CORDOBA;Punilla;Charbonier
CORDOBA;Punilla;Cosquín
CORDOBA;Punilla;Cuesta Blanca
CORDOBA;Punilla;Estancia Vieja
CORDOBA;Punilla;Huerta Grande
CORDOBA;Punilla;La Cumbre
CORDOBA;Punilla;La Falda
CORDOBA;Punilla;Las Jarillas
CORDOBA;Punilla;Los Cocos
CORDOBA;Punilla;Mayu Sumaj
CORDOBA;Punilla;San Antonio de Arredondo
CORDOBA;Punilla;San Esteban
CORDOBA;Punilla;San Roque
CORDOBA;Punilla;Santa María de Punilla
CORDOBA;Punilla;Tala Huasi
CORDOBA;Punilla;Tanti
CORDOBA;Punilla;Valle Hermoso
CORDOBA;Punilla;Villa Carlos Paz
CORDOBA;Punilla;Villa Giardino
CORDOBA;Punilla;Villa Parque Siquimán
CORDOBA;Punilla;Villa Río Icho Cruz
CORDOBA;Punilla;Villa Santa Cruz del Lago
CORDOBA;Río Cuarto;Achiras
CORDOBA;Río Cuarto;Adelia María
CORDOBA;Río Cuarto;Alcira (Est. Gigena)
CORDOBA;Río Cuarto;ALPA CORRAL
CORDOBA;Río Cuarto;Berrotarán
CORDOBA;Río Cuarto;Bulnes
CORDOBA;Río Cuarto;Chaján
CORDOBA;Río Cuarto;Chucul
CORDOBA;Río Cuarto;Coronel Baigorria
CORDOBA;Río Cuarto;Coronel Moldes
CORDOBA;Río Cuarto;Elena
CORDOBA;Río Cuarto;La Carolina
CORDOBA;Río Cuarto;Las Acequias
CORDOBA;Río Cuarto;LAS ALBAHACAS
CORDOBA;Río Cuarto;Las Higueras
CORDOBA;Río Cuarto;Las Peñas
CORDOBA;Río Cuarto;Las Vertientes
CORDOBA;Río Cuarto;Otros
CORDOBA;Río Cuarto;Río Cuarto
CORDOBA;Río Cuarto;Sampacho
CORDOBA;Río Cuarto;San Basilio
CORDOBA;Río Cuarto;Santa Catalina (Est. Holmberg)
CORDOBA;Río Cuarto;Vicuña Mackenna
CORDOBA;Río Cuarto;VILLA EL CHACAY
CORDOBA;Río Cuarto;Washington
CORDOBA;Río Primero;Cañada de Machado
CORDOBA;Río Primero;Diego de Rojas
CORDOBA;Río Primero;Esquina
CORDOBA;Río Primero;La Para
CORDOBA;Río Primero;La Puerta
CORDOBA;Río Primero;La Quinta
CORDOBA;Río Primero;Montecristo
CORDOBA;Río Primero;Otros
CORDOBA;Río Primero;Piquillín
CORDOBA;Río Primero;Río Primero
CORDOBA;Río Primero;Santa Rosa de Río Primero
CORDOBA;Río Primero;Villa Fontana
CORDOBA;Río Seco;Cerro Colorado
CORDOBA;Río Seco;Rayo Cortado
CORDOBA;Río Seco;Sebastián Elcano
CORDOBA;Río Seco;Villa de María
CORDOBA;Río Segundo;Calchín
CORDOBA;Río Segundo;Capilla del Carmen
CORDOBA;Río Segundo;Carrilobo
CORDOBA;Río Segundo;Colazo
CORDOBA;Río Segundo;Costasacate
CORDOBA;Río Segundo;Laguna Larga
CORDOBA;Río Segundo;Las Junturas
CORDOBA;Río Segundo;Los Chañaritos
CORDOBA;Río Segundo;Luque
CORDOBA;Río Segundo;Manfredi
CORDOBA;Río Segundo;Oncativo
CORDOBA;Río Segundo;Pilar
CORDOBA;Río Segundo;Pozo del Molle
CORDOBA;Río Segundo;Rincón
CORDOBA;Río Segundo;Río Segundo
CORDOBA;Río Segundo;Santiago Temple
CORDOBA;Río Segundo;Villa del Rosario
CORDOBA;San Alberto;Arroyo Los Patos
CORDOBA;San Alberto;El Huayco
CORDOBA;San Alberto;La Cortadera
CORDOBA;San Alberto;Las Calles
CORDOBA;San Alberto;Las Rabonas
CORDOBA;San Alberto;Mina Clavero
CORDOBA;San Alberto;Nono
CORDOBA;San Alberto;San Huberto
CORDOBA;San Alberto;San Lorenzo
CORDOBA;San Alberto;San Pedro
CORDOBA;San Alberto;San Vicente
CORDOBA;San Alberto;Sauce Arriba
CORDOBA;San Alberto;Villa Cura Brochero
CORDOBA;San Alberto;Villa Sarmiento
CORDOBA;San Javier;Conlara
CORDOBA;San Javier;Cruz Caña
CORDOBA;San Javier;Dos Arroyos
CORDOBA;San Javier;El Pantanillo
CORDOBA;San Javier;La Paz
CORDOBA;San Javier;La Población
CORDOBA;San Javier;La Ramada
CORDOBA;San Javier;La Travesía
CORDOBA;San Javier;Las Chacras
CORDOBA;San Javier;Las Tapias
CORDOBA;San Javier;Loma Bola
CORDOBA;San Javier;Los Cerrillos
CORDOBA;San Javier;Los Hornillos
CORDOBA;San Javier;Los Molles
CORDOBA;San Javier;Los Romeros
CORDOBA;San Javier;Luyaba
CORDOBA;San Javier;Quebracho Ladeado
CORDOBA;San Javier;Quebrada de los Pozos
CORDOBA;San Javier;San Javier y Yacanto
CORDOBA;San Javier;San José
CORDOBA;San Javier;Villa de las Rosas
CORDOBA;San Javier;Villa Dolores
CORDOBA;San Javier;Villa La Viña
CORDOBA;San Justo;Alicia
CORDOBA;San Justo;Altos de Chipión
CORDOBA;San Justo;Arroyito
CORDOBA;San Justo;Brinkmann
CORDOBA;San Justo;Colonia Anita
CORDOBA;San Justo;Colonia Las Pichanas
CORDOBA;San Justo;Colonia Marina
CORDOBA;San Justo;Colonia San Bartolomé
CORDOBA;San Justo;Colonia Vignaud
CORDOBA;San Justo;Devoto
CORDOBA;San Justo;El Arañado
CORDOBA;San Justo;El Fortín
CORDOBA;San Justo;El Fuertecito
CORDOBA;San Justo;El Tío
CORDOBA;San Justo;Estación Luxardo
CORDOBA;San Justo;Freyre
CORDOBA;San Justo;La Francia
CORDOBA;San Justo;La Paquita
CORDOBA;San Justo;La Tordilla
CORDOBA;San Justo;Las Varas
CORDOBA;San Justo;Las Varillas
CORDOBA;San Justo;Marull
CORDOBA;San Justo;Miramar
CORDOBA;San Justo;Morteros
CORDOBA;San Justo;Plaza Luxardo
CORDOBA;San Justo;Plaza San Francisco
CORDOBA;San Justo;Porteña
CORDOBA;San Justo;Quebracho Herrado
CORDOBA;San Justo;Sacanta
CORDOBA;San Justo;San Francisco
CORDOBA;San Justo;Saturnino María Laspiur
CORDOBA;San Justo;Seeber
CORDOBA;San Justo;Toro Pujio
CORDOBA;San Justo;Transito
CORDOBA;San Justo;Tránsito
CORDOBA;San Justo;Villa Concepción del Tío
CORDOBA;San Justo;Villa del Tránsito
CORDOBA;San Justo;Villa San Esteban
CORDOBA;Santa María;Alta Gracia
CORDOBA;Santa María;Anisacate
CORDOBA;Santa María;Campos Del Virrey
CORDOBA;Santa María;Despeñaderos
CORDOBA;Santa María;José de la Quintana
CORDOBA;Santa María;La Cumbrecita
CORDOBA;Santa María;La Donosa
CORDOBA;Santa María;La Paisanita
CORDOBA;Santa María;Malagueño
CORDOBA;Santa María;Potrero de Garay
CORDOBA;Santa María;San Nicolás
CORDOBA;Santa María;Toledo
CORDOBA;Santa María;Valle de Anisacate
CORDOBA;Santa María;Villa Ciudad de América (Loteo Diego de Rojas)
CORDOBA;Santa María;Villa del Prado
CORDOBA;Santa María;Villa La Bolsa
CORDOBA;Santa María;Villa Los Aromos
CORDOBA;Santa María;Villa Parque Santa Ana
CORDOBA;Santa María;Villa San Isidro - José de la Quintana
CORDOBA;Sobremonte;Caminiaga
CORDOBA;Sobremonte;San Francisco del Chañar
CORDOBA;Tercero Arriba;Almafuerte
CORDOBA;Tercero Arriba;Colonia Almada
CORDOBA;Tercero Arriba;Corralito
CORDOBA;Tercero Arriba;Dalmacio Vélez
CORDOBA;Tercero Arriba;General Fotheringham
CORDOBA;Tercero Arriba;Hernando
CORDOBA;Tercero Arriba;James Craik
CORDOBA;Tercero Arriba;Las Isletillas
CORDOBA;Tercero Arriba;Las Perdices
CORDOBA;Tercero Arriba;Oliva
CORDOBA;Tercero Arriba;Pampayasta Norte
CORDOBA;Tercero Arriba;Pampayasta Sur
CORDOBA;Tercero Arriba;Punta del Agua
CORDOBA;Tercero Arriba;Río Tercero
CORDOBA;Tercero Arriba;Tancacha
CORDOBA;Tercero Arriba;Villa Ascasubi
CORDOBA;Totoral;Las Peñas
CORDOBA;Totoral;Sarmiento
CORDOBA;Totoral;Sinsacate
CORDOBA;Totoral;Villa del Totoral
CORDOBA;Tulumba;Las Arrias
CORDOBA;Tulumba;Rosario del Saladillo
CORDOBA;Tulumba;San José de la Dormida
CORDOBA;Tulumba;San Pedro Norte
CORDOBA;Tulumba;Villa Tulumba
CORDOBA;Unión;Alto Alegre
CORDOBA;Unión;Ballesteros
CORDOBA;Unión;Ballesteros Sur
CORDOBA;Unión;Bell Ville
CORDOBA;Unión;Canals
CORDOBA;Unión;Chilibroste
CORDOBA;Unión;Cintra
CORDOBA;Unión;Colonia Bismarck
CORDOBA;Unión;Idiazabal
CORDOBA;Unión;Justiniano Posse
CORDOBA;Unión;Laborde
CORDOBA;Unión;Monte Maíz
CORDOBA;Unión;Morrison
CORDOBA;Unión;Noetinger
CORDOBA;Unión;Ordóñez
CORDOBA;Unión;Pascanas
CORDOBA;Unión;Pueblo Italiano
CORDOBA;Unión;Ramón J. Cárcano
CORDOBA;Unión;San Antonio de Litín
CORDOBA;Unión;San Marcos
CORDOBA;Unión;Viamonte
CORDOBA;Unión;Wenceslao Escalante
CORRIENTES;Bella Vista;Bella Vista
CORRIENTES;Berón de Astrada;Berón de Astrada
CORRIENTES;Capital;Corrientes
CORRIENTES;Capital;Laguna Brava
CORRIENTES;Capital;Riachuelo
CORRIENTES;Capital;San Cayetano
CORRIENTES;Concepción;Concepción
CORRIENTES;Concepción;Santa Rosa
CORRIENTES;Concepción;Tabay
CORRIENTES;Concepción;Tatacua
CORRIENTES;Curuzú Cuatiá;Cazadores Correntinos
CORRIENTES;Curuzú Cuatiá;Curuzú Cuatiá
CORRIENTES;Curuzú Cuatiá;Perugorría
CORRIENTES;Empedrado;El Sombrero
CORRIENTES;Empedrado;Empedrado
CORRIENTES;Esquina;Esquina
CORRIENTES;Esquina;Pueblo Libertador
CORRIENTES;General Alvear;Alvear
CORRIENTES;General Paz;Itá Ibaté
CORRIENTES;General Paz;Lomas de Vallejos
CORRIENTES;General Paz;Nuestra Señora del Rosario de Caá Catí
CORRIENTES;General Paz;Palmar Grande
CORRIENTES;Goya;Colonia Carolina
CORRIENTES;Goya;Goya
CORRIENTES;ItatÍ;Itatí
CORRIENTES;ItatÍ;Ramada Paso
CORRIENTES;Ituzaingó;Colonia Liebig's
CORRIENTES;Ituzaingó;Ituzaingó
CORRIENTES;Ituzaingó;Villa Olivari
CORRIENTES;Lavalle;Gobernador Juan E. Martínez
CORRIENTES;Lavalle;Lavalle
CORRIENTES;Lavalle;Santa Lucía
CORRIENTES;Mburucuyá;Mburucuyá
CORRIENTES;Mercedes;Felipe Yofré
CORRIENTES;Mercedes;Mariano I. Loza  (Est. Justino Solari)
CORRIENTES;Mercedes;Mercedes
CORRIENTES;Monte Caseros;Colonia Libertad
CORRIENTES;Monte Caseros;Estación Libertad
CORRIENTES;Monte Caseros;Juan Pujol
CORRIENTES;Monte Caseros;Mocoretá
CORRIENTES;Monte Caseros;Monte Caseros
CORRIENTES;Monte Caseros;Parada Acuña
CORRIENTES;Monte Caseros;Parada Labougle
CORRIENTES;OTROS;Otros
CORRIENTES;Paso de los Libres;Bonpland
CORRIENTES;Paso de los Libres;Parada Pucheta
CORRIENTES;Paso de los Libres;Paso de los Libres
CORRIENTES;Saladas;Saladas
CORRIENTES;Saladas;San Lorenzo
CORRIENTES;San Cosme;Paso de la Patria
CORRIENTES;San Cosme;San Cosme
CORRIENTES;San Cosme;Santa Ana
CORRIENTES;San Luis del Palmar;San Luis del Palmar
CORRIENTES;San Martín;La Cruz
CORRIENTES;San Miguel;Loreto
CORRIENTES;San Miguel;San Miguel
CORRIENTES;San Roque;Chavarría
CORRIENTES;San Roque;Pedro R. Fernández (Est. Manuel F. Mantilla)
CORRIENTES;San Roque;San Roque
CORRIENTES;Santo Tomé;Gobernador Igr. Valentín Virasoro
CORRIENTES;Santo Tomé;José Rafael Gómez
CORRIENTES;Santo Tomé;Santo Tomé
CORRIENTES;Sauce;Sauce
ENTRE RIOS;Colón;Arroyo Barú
ENTRE RIOS;Colón;Colón
ENTRE RIOS;Colón;Colonia Hugues
ENTRE RIOS;Colón;El Brillante
ENTRE RIOS;Colón;Hambis
ENTRE RIOS;Colón;Hocker
ENTRE RIOS;Colón;La Clarita
ENTRE RIOS;Colón;Pueblo Cazes
ENTRE RIOS;Colón;Pueblo Liebig's
ENTRE RIOS;Colón;San José
ENTRE RIOS;Colón;Ubajay
ENTRE RIOS;Colón;Villa  Elisa
ENTRE RIOS;Concordia;Clodomiro Ledesma
ENTRE RIOS;Concordia;Concordia
ENTRE RIOS;Concordia;La Criolla
ENTRE RIOS;Concordia;Los Charrúas
ENTRE RIOS;Concordia;Pedernal
ENTRE RIOS;Diamante;Aldea Brasilera
ENTRE RIOS;Diamante;Aldea Protestante
ENTRE RIOS;Diamante;Aldea Spatzenkutter
ENTRE RIOS;Diamante;Aldea Valle María
ENTRE RIOS;Diamante;Colonia Ensayo
ENTRE RIOS;Diamante;Diamante
ENTRE RIOS;Diamante;Estación Camps
ENTRE RIOS;Diamante;General Alvear
ENTRE RIOS;Diamante;General Racedo
ENTRE RIOS;Diamante;General Ramírez
ENTRE RIOS;Diamante;Otros
ENTRE RIOS;Diamante;Strobel
ENTRE RIOS;Diamante;Villa Libertador San Martín
ENTRE RIOS;Federación;Chajarí
ENTRE RIOS;Federación;Colonia Alemana
ENTRE RIOS;Federación;Colonia Ensanche Sauce
ENTRE RIOS;Federación;Colonia La Argentina
ENTRE RIOS;Federación;Colonia Peña
ENTRE RIOS;Federación;Colonia Santa María
ENTRE RIOS;Federación;Federación
ENTRE RIOS;Federación;Los Conquistadores
ENTRE RIOS;Federación;San Jaime de la Frontera
ENTRE RIOS;Federación;San Pedro
ENTRE RIOS;Federación;San Ramón
ENTRE RIOS;Federación;Santa Ana
ENTRE RIOS;Federación;Villa del Rosario
ENTRE RIOS;Federal;Conscripto Bernardi
ENTRE RIOS;Federal;El Cimarrón
ENTRE RIOS;Federal;Federal
ENTRE RIOS;Federal;Nueva Vizcaya
ENTRE RIOS;Federal;Sauce de Luna
ENTRE RIOS;Feliciano;San José de Feliciano
ENTRE RIOS;Feliciano;San Víctor
ENTRE RIOS;Gualeguay;General Galarza
ENTRE RIOS;Gualeguay;Gualeguay
ENTRE RIOS;Gualeguaychú;Aldea San Antonio
ENTRE RIOS;Gualeguaychú;Aldea San Juan
ENTRE RIOS;Gualeguaychú;Enrique Carbó
ENTRE RIOS;Gualeguaychú;Faustino M. Parera
ENTRE RIOS;Gualeguaychú;Gilbert
ENTRE RIOS;Gualeguaychú;Gualeguaychú
ENTRE RIOS;Gualeguaychú;Larroque
ENTRE RIOS;Gualeguaychú;Pueblo General Belgrano
ENTRE RIOS;Gualeguaychú;Urdinarrain
ENTRE RIOS;Islas del Ibicuy;Ceibas
ENTRE RIOS;Islas del Ibicuy;Ibicuy
ENTRE RIOS;Islas del Ibicuy;Médanos
ENTRE RIOS;Islas del Ibicuy;Villa Paranacito
ENTRE RIOS;La Paz;Bovril
ENTRE RIOS;La Paz;Colonia Avigdor
ENTRE RIOS;La Paz;El Solar
ENTRE RIOS;La Paz;La Paz
ENTRE RIOS;La Paz;Piedras Blancas
ENTRE RIOS;La Paz;Pueblo Arrúa (Est. Alcaraz)
ENTRE RIOS;La Paz;San Gustavo
ENTRE RIOS;La Paz;Santa Elena
ENTRE RIOS;Nogoyá;Aranguren
ENTRE RIOS;Nogoyá;Betbeder
ENTRE RIOS;Nogoyá;Don Cristóbal
ENTRE RIOS;Nogoyá;Febré
ENTRE RIOS;Nogoyá;Hernández
ENTRE RIOS;Nogoyá;Lucas González
ENTRE RIOS;Nogoyá;Nogoyá
ENTRE RIOS;Nogoyá;Otros
ENTRE RIOS;Nogoyá;XX de Setiembre
ENTRE RIOS;OTROS;Otros
ENTRE RIOS;Paraná;Aldea María Luisa
ENTRE RIOS;Paraná;Aldea San Rafael
ENTRE RIOS;Paraná;Cerrito
ENTRE RIOS;Paraná;Colonia Avellaneda
ENTRE RIOS;Paraná;Crespo
ENTRE RIOS;Paraná;Crucesitas Séptima Sección
ENTRE RIOS;Paraná;El Palenque
ENTRE RIOS;Paraná;El Pingo
ENTRE RIOS;Paraná;El Ramblón
ENTRE RIOS;Paraná;Hasenkamp
ENTRE RIOS;Paraná;Hernandarias
ENTRE RIOS;Paraná;La Picada
ENTRE RIOS;Paraná;Las Tunas
ENTRE RIOS;Paraná;María Grande
ENTRE RIOS;Paraná;Oro Verde
ENTRE RIOS;Paraná;Otros
ENTRE RIOS;Paraná;Paraná
ENTRE RIOS;Paraná;Pueblo Brugo
ENTRE RIOS;Paraná;San Benito
ENTRE RIOS;Paraná;Sauce Montrull
ENTRE RIOS;Paraná;Seguí
ENTRE RIOS;Paraná;Tabossi
ENTRE RIOS;Paraná;Viale
ENTRE RIOS;Paraná;Villa Urquiza
ENTRE RIOS;San Salvador;General Campos
ENTRE RIOS;San Salvador;San Salvador
ENTRE RIOS;Tala;Durazno
ENTRE RIOS;Tala;Gobernador Echagüe
ENTRE RIOS;Tala;Gobernador Mansilla
ENTRE RIOS;Tala;Gobernador Solá
ENTRE RIOS;Tala;Las Guachas
ENTRE RIOS;Tala;Maciá
ENTRE RIOS;Tala;Rosario del Tala
ENTRE RIOS;Uruguay;1º de Mayo
ENTRE RIOS;Uruguay;Basavilbaso
ENTRE RIOS;Uruguay;Caseros
ENTRE RIOS;Uruguay;Colonia Elía
ENTRE RIOS;Uruguay;Concepción del Uruguay
ENTRE RIOS;Uruguay;Estancia San Pedro
ENTRE RIOS;Uruguay;Herrera
ENTRE RIOS;Uruguay;Las Moscas
ENTRE RIOS;Uruguay;Líbaros
ENTRE RIOS;Uruguay;Pronunciamiento
ENTRE RIOS;Uruguay;Rocamora
ENTRE RIOS;Uruguay;Santa Anita
ENTRE RIOS;Uruguay;Villa Mantero
ENTRE RIOS;Uruguay;Villa San Justo
ENTRE RIOS;Uruguay;Villa San Marcial (Est. Gobernador Urquiza)
ENTRE RIOS;Victoria;Molino Doll
ENTRE RIOS;Victoria;Rincón de Nogoyá
ENTRE RIOS;Victoria;Victoria
ENTRE RIOS;Villaguay;Estación Raíces
ENTRE RIOS;Villaguay;Ingeniero Miguel Sajaroff
ENTRE RIOS;Villaguay;Jubileo
ENTRE RIOS;Villaguay;Paso de la Laguna
ENTRE RIOS;Villaguay;Villa Clara
ENTRE RIOS;Villaguay;Villa Domínguez
ENTRE RIOS;Villaguay;Villaguay
FORMOSA;Bermejo;Fortín Soledad
FORMOSA;Bermejo;Guadalcazar
FORMOSA;Bermejo;La Rinconada
FORMOSA;Bermejo;Laguna Yema
FORMOSA;Bermejo;Lamadrid
FORMOSA;Bermejo;Los Chiriguanos
FORMOSA;Bermejo;Pozo de Maza
FORMOSA;Bermejo;Pozo del Mortero
FORMOSA;Bermejo;Vaca Perdida
FORMOSA;Formosa;Colonia Pastoril
FORMOSA;Formosa;Formosa
FORMOSA;Formosa;Gran Guardia
FORMOSA;Formosa;Mariano Boedo
FORMOSA;Formosa;Mojón de Fierro
FORMOSA;Formosa;San Hilario
FORMOSA;Formosa;Villa del Carmen
FORMOSA;Laishi;Banco Payaguá
FORMOSA;Laishi;General Lucio Victorio Mansilla
FORMOSA;Laishi;Herradura
FORMOSA;Laishi;Otros
FORMOSA;Laishi;San Francisco de Laishi
FORMOSA;Laishi;Tatané
FORMOSA;Laishi;Villa Escolar
FORMOSA;Matacos;Ingeniero Guillermo N. Juárez
FORMOSA;OTROS;Otros
FORMOSA;Patiño;Bartolomé de las Casas
FORMOSA;Patiño;Comandante Fontana
FORMOSA;Patiño;Estanislao del Campo
FORMOSA;Patiño;Fortín Cabo 1º Lugones
FORMOSA;Patiño;Fortín Sargento 1º Leyes
FORMOSA;Patiño;Ibarreta
FORMOSA;Patiño;Juan G. Bazán
FORMOSA;Patiño;Las Lomitas
FORMOSA;Patiño;Posta Cambio Zalazar
FORMOSA;Patiño;Pozo del Tigre
FORMOSA;Patiño;San Martín I
FORMOSA;Patiño;San Martín II
FORMOSA;Patiño;Subteniente Perín
FORMOSA;Patiño;Villa General Güemes
FORMOSA;Patiño;Villa General Manuel Belgrano
FORMOSA;Pilagás;Buena Vista
FORMOSA;Pilagás;El Espinillo
FORMOSA;Pilagás;Laguna Gallo
FORMOSA;Pilagás;Misión Tacaagle
FORMOSA;Pilagás;Tres Lagunas
FORMOSA;Pilcomayo;Clorinda
FORMOSA;Pilcomayo;Laguna Blanca
FORMOSA;Pilcomayo;Laguna Naick-Neck
FORMOSA;Pilcomayo;Palma Sola
FORMOSA;Pilcomayo;Puerto Pilcomayo
FORMOSA;Pilcomayo;Riacho He-He
FORMOSA;Pilcomayo;Riacho Negro
FORMOSA;Pilcomayo;Siete Palmas
FORMOSA;Pirané;Colonia Campo Villafañe
FORMOSA;Pirané;El Colorado
FORMOSA;Pirané;Otros
FORMOSA;Pirané;Palo Santo
FORMOSA;Pirané;Pirané
FORMOSA;Pirané;Villa Kilómetro 213
FORMOSA;Ramón Lista;El Potrillo
FORMOSA;Ramón Lista;El Quebracho
FORMOSA;Ramón Lista;General Mosconi
FORMOSA;Ramón Lista;Otros
JUJUY;Cochinoca;Abra Pampa
JUJUY;Cochinoca;Puesto del Marquéz
JUJUY;Doctor Manuel Belgrano;Dr. Manuel Belgrano
JUJUY;Doctor Manuel Belgrano;Guerrero
JUJUY;Doctor Manuel Belgrano;León
JUJUY;Doctor Manuel Belgrano;Lozano (Ap. Chañi)
JUJUY;Doctor Manuel Belgrano;San Salvador de Jujuy (Est. Jujuy)
JUJUY;Doctor Manuel Belgrano;Yala
JUJUY;El Carmen;Aguas Calientes
JUJUY;El Carmen;El Carmen
JUJUY;El Carmen;Manantiales
JUJUY;El Carmen;Monterrico
JUJUY;El Carmen;Pampa Blanca
JUJUY;El Carmen;Perico
JUJUY;El Carmen;Puesto Viejo
JUJUY;Humahuaca;El Aguilar
JUJUY;Humahuaca;Hipólito Yrigoyen (Est. Iturbe)
JUJUY;Humahuaca;Humahuaca
JUJUY;Humahuaca;Tres Cruces
JUJUY;Humahuaca;Uquía (Est. Senador Pérez)
JUJUY;Ledesma;Caimancito
JUJUY;Ledesma;Calilegua
JUJUY;Ledesma;Chalicán
JUJUY;Ledesma;Fraile Pintado
JUJUY;Ledesma;Libertador General San Martín (Est. Ledesma)
JUJUY;Ledesma;Yuto
JUJUY;OTROS;Otros
JUJUY;Palpalá;Carahunco
JUJUY;Palpalá;Centro Forestal
JUJUY;Palpalá;Palpalá (Est. Gral. Manuel N. Savio)
JUJUY;Rinconada;Coyaguaima
JUJUY;Rinconada;Lagunillas de Farallón
JUJUY;Rinconada;Liviara
JUJUY;Rinconada;Loma Blanca
JUJUY;Rinconada;Nuevo Pirquitas
JUJUY;Rinconada;Orosmayo
JUJUY;Rinconada;Rinconada
JUJUY;San Antonio;El Ceibal
JUJUY;San Antonio;Los Alisos
JUJUY;San Antonio;San Antonio
JUJUY;San Pedro;Don Emilio
JUJUY;San Pedro;La Esperanza
JUJUY;San Pedro;La Mendieta
JUJUY;San Pedro;Rosario de Río Grande
JUJUY;San Pedro;San Lucas
JUJUY;San Pedro;San Pedro (Est. San Pedro de Jujuy)
JUJUY;SANTA BARBARA;El Fuerte
JUJUY;SANTA BARBARA;El Piquete
JUJUY;SANTA BARBARA;El Talar
JUJUY;SANTA BARBARA;Otros
JUJUY;SANTA BARBARA;Palma Sola
JUJUY;SANTA BARBARA;Santa Clara
JUJUY;SANTA BARBARA;Vinalito
JUJUY;Santa Catalina;Casira
JUJUY;Santa Catalina;Ciénega
JUJUY;Santa Catalina;Cieneguillas
JUJUY;Santa Catalina;Cusi Cusi
JUJUY;Santa Catalina;Misarrumi
JUJUY;Santa Catalina;Oratorio
JUJUY;Santa Catalina;Paicone
JUJUY;Santa Catalina;Santa Catalina
JUJUY;Susques;Catua
JUJUY;Susques;Coranzuli
JUJUY;Susques;El Toro
JUJUY;Susques;Huáncar
JUJUY;Susques;Jama
JUJUY;Susques;Mina Providencia
JUJUY;Susques;Olacapato
JUJUY;Susques;Olaroz Chico
JUJUY;Susques;Pastos Chicos
JUJUY;Susques;Puesto Sey
JUJUY;Susques;San Juan de Quillaqués
JUJUY;Susques;Susques
JUJUY;Tilcara;Huacalera
JUJUY;Tilcara;Maimará
JUJUY;Tilcara;Tilcara
JUJUY;Tumbaya;Bárcena
JUJUY;Tumbaya;El Moreno
JUJUY;Tumbaya;Purmamarca
JUJUY;Tumbaya;Tumbaya
JUJUY;Tumbaya;Volcán
JUJUY;Valle Grande;Santa Ana
JUJUY;Yavi;Barrios
JUJUY;Yavi;Cangrejillos
JUJUY;Yavi;La Intermedia
JUJUY;Yavi;La Quiaca
JUJUY;Yavi;Pumahuasi
JUJUY;Yavi;Yavi Chico
LA PAMPA;Atreucó;Doblas
LA PAMPA;Atreucó;Macachín
LA PAMPA;Atreucó;Miguel Riglos
LA PAMPA;Atreucó;Rolón
LA PAMPA;Atreucó;Tomas M. Anchorena
LA PAMPA;Caleu Caleu;Anzoategui
LA PAMPA;Caleu Caleu;La Adela
LA PAMPA;Capital;Anguil
LA PAMPA;Capital;Santa Rosa
LA PAMPA;Catriló;Catriló
LA PAMPA;Catriló;La Gloria
LA PAMPA;Catriló;Lonquimay
LA PAMPA;Catriló;Uriburu
LA PAMPA;Chalileo;Santa Isabel
LA PAMPA;Chapaleufú;Bernardo Larroude
LA PAMPA;Chapaleufú;Ceballos
LA PAMPA;Chapaleufú;Coronel Hilario Lagos (Est. Aguas Buenas)
LA PAMPA;Chapaleufú;Intendente Alvear
LA PAMPA;Chapaleufú;Sarah
LA PAMPA;Chapaleufú;Vértiz
LA PAMPA;Chical Co;La Humada
LA PAMPA;Conhelo;Conhelo
LA PAMPA;Conhelo;Eduardo Castex
LA PAMPA;Conhelo;Mauricio Mayer
LA PAMPA;Conhelo;Monte Nievas
LA PAMPA;Conhelo;Rucanelo
LA PAMPA;Conhelo;Winifreda
LA PAMPA;Curacó;Gobernador Duval
LA PAMPA;Curacó;Puelches
LA PAMPA;Guatraché;Alpachiri
LA PAMPA;Guatraché;General Manuel J. Campos
LA PAMPA;Guatraché;Guatraché
LA PAMPA;Guatraché;Perú
LA PAMPA;Guatraché;Santa Teresa
LA PAMPA;Hucal;Abramo
LA PAMPA;Hucal;Bernasconi
LA PAMPA;Hucal;General San Martín (Est. Villa Alba)
LA PAMPA;Hucal;Jacinto Arauz
LA PAMPA;Lihuel Calel;Cuchillo Co
LA PAMPA;Limay Mahuida;La Reforma
LA PAMPA;Limay Mahuida;Limay Mahuida
LA PAMPA;Loventué;Carro Quemado
LA PAMPA;Loventué;Loventué
LA PAMPA;Loventué;Luan Toro
LA PAMPA;Loventué;Telén
LA PAMPA;Loventué;Victorica
LA PAMPA;Maracó;Agustoni
LA PAMPA;Maracó;Dorila
LA PAMPA;Maracó;General Pico
LA PAMPA;Maracó;Speluzzi
